Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
TXNIP,Thioredoxin Interacting Protein,Protein Coding,Q9H3M7,52,GC01M145992,17.81,
ASS1,Argininosuccinate Synthase 1,Protein Coding,P00966,62,GC09P130444,17.8,
CYP7B1,Cytochrome P450 Family 7 Subfamily B Member 1,Protein Coding,O75881,58,GC08M064587,17.79,
GSS,Glutathione Synthetase,Protein Coding,P48637,59,GC20M034928,17.77,
MAP2K6,Mitogen-Activated Protein Kinase Kinase 6,Protein Coding,P52564,60,GC17P069414,17.66,
SUCLA2,Succinate-CoA Ligase ADP-Forming Subunit Beta,Protein Coding,Q9P2R7,59,GC13M047745,17.64,
CFTR,CF Transmembrane Conductance Regulator,Protein Coding,P13569,66,GC07P117287,17.63,
PRKCD,Protein Kinase C Delta,Protein Coding,Q05655,65,GC03P053156,17.62,
CYP1A2,Cytochrome P450 Family 1 Subfamily A Member 2,Protein Coding,P05177,58,GC15P074748,17.62,
SCO2,Synthesis Of Cytochrome C Oxidase 2,Protein Coding,O43819,58,GC22M050523,17.61,
IKBKB,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Protein Coding,O14920,67,GC08P042271,17.61,
NDUFAF5,NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 5,Protein Coding,Q5TEU4,48,GC20P014067,17.6,
GFAP,Glial Fibrillary Acidic Protein,Protein Coding,P14136,61,GC17M097317,17.6,
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,Q15848,59,GC03P186842,17.59,
NDUFS3,NADH:Ubiquinone Oxidoreductase Core Subunit S3,Protein Coding,O75489,58,GC11P049115,17.57,
NPC1,NPC Intracellular Cholesterol Transporter 1,Protein Coding,O15118,62,GC18M023506,17.55,
OXR1,Oxidation Resistance 1,Protein Coding,Q8N573,52,GC08P106303,17.52,
KCNJ2,Potassium Inwardly Rectifying Channel Subfamily J Member 2,Protein Coding,P63252,61,GC17P070168,17.47,
SMPD1,Sphingomyelin Phosphodiesterase 1,Protein Coding,P17405,61,GC11P006390,17.45,
SP1,Sp1 Transcription Factor,Protein Coding,P08047,60,GC12P053380,17.39,
MAP2K4,Mitogen-Activated Protein Kinase Kinase 4,Protein Coding,P45985,62,GC17P012020,17.36,
CALM2,Calmodulin 2,Protein Coding,P0DP24,56,GC02M047160,17.35,
TRPM2,Transient Receptor Potential Cation Channel Subfamily M Member 2,Protein Coding,O94759,53,GC21P044350,17.34,
EPO,Erythropoietin,Protein Coding,P01588,55,GC07P100720,17.26,
SCN5A,Sodium Voltage-Gated Channel Alpha Subunit 5,Protein Coding,Q14524,63,GC03M038850,17.2,
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,P12931,64,GC20P037344,17.17,
HMGB1,High Mobility Group Box 1,Protein Coding,P09429,62,GC13M030456,17.09,
SNTA1,Syntrophin Alpha 1,Protein Coding,Q13424,58,GC20M033407,17.06,
FKRP,Fukutin Related Protein,Protein Coding,Q9H9S5,51,GC19P152743,17.04,
NDUFV3,NADH:Ubiquinone Oxidoreductase Subunit V3,Protein Coding,P56181,52,GC21P042879,17.02,
MRPS16,Mitochondrial Ribosomal Protein S16,Protein Coding,Q9Y3D3,53,GC10M073248,16.96,
SURF1,SURF1 Cytochrome C Oxidase Assembly Factor,Protein Coding,Q15526,55,GC09M133351,16.96,
CYGB,Cytoglobin,Protein Coding,Q8WWM9,50,GC17M076527,16.92,
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,P01112,65,GC11M015046,16.9,
AGT,Angiotensinogen,Protein Coding,P01019,62,GC01M230690,16.88,
QRSL1,Glutaminyl-TRNA Amidotransferase Subunit QRSL1,Protein Coding,Q9H0R6,52,GC06P106629,16.87,
GPX7,Glutathione Peroxidase 7,Protein Coding,Q96SL4,54,GC01P052602,16.86,
COX4I1,Cytochrome C Oxidase Subunit 4I1,Protein Coding,P13073,58,GC16P085798,16.86,
NOX1,NADPH Oxidase 1,Protein Coding,Q9Y5S8,57,GC0XM100843,16.85,
CTSD,Cathepsin D,Protein Coding,P07339,65,GC11M001752,16.84,
ATF2,Activating Transcription Factor 2,Protein Coding,P15336,60,GC02M175072,16.84,
NCF2,Neutrophil Cytosolic Factor 2,Protein Coding,P19878,61,GC01M186893,16.83,
MRPL39,Mitochondrial Ribosomal Protein L39,Protein Coding,Q9NYK5,49,GC21M025585,16.83,
KCNJ5,Potassium Inwardly Rectifying Channel Subfamily J Member 5,Protein Coding,P48544,61,GC11P128891,16.8,
YBX1,Y-Box Binding Protein 1,Protein Coding,P67809,54,GC01P042682,16.72,
MRPL12,Mitochondrial Ribosomal Protein L12,Protein Coding,P52815,51,GC17P155779,16.69,
NDUFA9,NADH:Ubiquinone Oxidoreductase Subunit A9,Protein Coding,Q16795,55,GC12P004649,16.69,
STK4,Serine/Threonine Kinase 4,Protein Coding,Q13043,61,GC20P044966,16.67,
NDUFA2,NADH:Ubiquinone Oxidoreductase Subunit A2,Protein Coding,O43678,54,GC05M140834,16.66,
NUBPL,"NUBP Iron-Sulfur Cluster Assembly Factor, Mitochondrial",Protein Coding,Q8TB37,52,GC14P031489,16.64,
GLB1,Galactosidase Beta 1,Protein Coding,P16278,62,GC03M032963,16.64,
EIF2AK1,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 1,Protein Coding,Q9BQI3,57,GC07M006022,16.64,
NDUFA1,NADH:Ubiquinone Oxidoreductase Subunit A1,Protein Coding,O15239,55,GC0XP119871,16.63,
ARG1,Arginase 1,Protein Coding,P05089,62,GC06P183096,16.63,
AGTR1,Angiotensin II Receptor Type 1,Protein Coding,P30556,65,GC03P148697,16.62,
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,P48736,62,GC07P106865,16.62,
ALDH2,Aldehyde Dehydrogenase 2 Family Member,Protein Coding,P05091,64,GC12P111766,16.61,
NDUFA4,NDUFA4 Mitochondrial Complex Associated,Protein Coding,O00483,54,GC07M010938,16.59,
MMACHC,Metabolism Of Cobalamin Associated C,Protein Coding,Q9Y4U1,55,GC01P045500,16.59,
TMEM70,Transmembrane Protein 70,Protein Coding,Q9BUB7,51,GC08P073972,16.58,
TACR1,Tachykinin Receptor 1,Protein Coding,P25103,59,GC02M075860,16.53,
SIRT3,Sirtuin 3,Protein Coding,Q9NTG7,60,GC11M000215,16.52,
COMT,Catechol-O-Methyltransferase,Protein Coding,P21964,64,GC22P019941,16.5,
ACACB,Acetyl-CoA Carboxylase Beta,Protein Coding,O00763,58,GC12P109116,16.5,
TUBB4A,Tubulin Beta 4A Class IVa,Protein Coding,P04350,60,GC19M107957,16.5,
KCNQ1,Potassium Voltage-Gated Channel Subfamily Q Member 1,Protein Coding,P51787,62,GC11P002444,16.49,
LEP,Leptin,Protein Coding,P41159,59,GC07P128241,16.48,
SAMHD1,SAM And HD Domain Containing Deoxynucleoside Triphosphate Triphosphohydrolase 1,Protein Coding,Q9Y3Z3,55,GC20M036890,16.43,
DMD,Dystrophin,Protein Coding,P11532,58,GC0XM031097,16.4,
EIF2B4,Eukaryotic Translation Initiation Factor 2B Subunit Delta,Protein Coding,Q9UI10,57,GC02M027364,16.39,
IL1A,Interleukin 1 Alpha,Protein Coding,P01583,58,GC02M112773,16.35,
ASL,Argininosuccinate Lyase,Protein Coding,P04424,58,GC07P066075,16.34,
KDR,Kinase Insert Domain Receptor,Protein Coding,P35968,67,GC04M055078,16.33,
NEU1,Neuraminidase 1,Protein Coding,Q99519,59,GC06M031857,16.32,
RHOA,Ras Homolog Family Member A,Protein Coding,P61586,62,GC03M049359,16.31,
APOB,Apolipoprotein B,Protein Coding,P04114,59,GC02M020956,16.31,
SUOX,Sulfite Oxidase,Protein Coding,P51687,57,GC12P055997,16.31,
MAPK11,Mitogen-Activated Protein Kinase 11,Protein Coding,Q15759,60,GC22M050263,16.28,
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,67,GC17M042313,16.26,
MAPKAPK2,MAPK Activated Protein Kinase 2,Protein Coding,P49137,60,GC01P206684,16.26,
PRKG1,Protein Kinase CGMP-Dependent 1,Protein Coding,Q13976,63,GC10P052996,16.25,
PSAP,Prosaposin,Protein Coding,P07602,61,GC10M071816,16.25,
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,P01116,66,GC12M035956,16.24,
GLRX,Glutaredoxin,Protein Coding,P35754,56,GC05M095752,16.23,
EIF2B3,Eukaryotic Translation Initiation Factor 2B Subunit Gamma,Protein Coding,Q9NR50,54,GC01M044850,16.19,
LRPPRC,Leucine Rich Pentatricopeptide Repeat Containing,Protein Coding,P42704,54,GC02M043886,16.17,
NDUFB10,NADH:Ubiquinone Oxidoreductase Subunit B10,Protein Coding,O96000,55,GC16P120164,16.13,
EIF2B1,Eukaryotic Translation Initiation Factor 2B Subunit Alpha,Protein Coding,Q14232,56,GC12M123620,16.12,
PLP1,Proteolipid Protein 1,Protein Coding,P60201,56,GC0XP103773,16.11,
FAS,Fas Cell Surface Death Receptor,Protein Coding,P25445,64,GC10P124091,16.09,
TRMT10C,"TRNA Methyltransferase 10C, Mitochondrial RNase P Subunit",Protein Coding,Q7L0Y3,49,GC03P101561,16.09,
MSRB2,Methionine Sulfoxide Reductase B2,Protein Coding,Q9Y3D2,51,GC10P023095,16.08,
SUMF1,Sulfatase Modifying Factor 1,Protein Coding,Q8NBK3,54,GC03M003700,16.06,
SLC22A5,Solute Carrier Family 22 Member 5,Protein Coding,O76082,60,GC05P132369,16.02,
COL4A1,Collagen Type IV Alpha 1 Chain,Protein Coding,P02462,60,GC13M110148,15.99,
FMR1,Fragile X Messenger Ribonucleoprotein 1,Protein Coding,Q06787,57,GC0XP148000,15.99,
MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,P42898,61,GC01M011785,15.98,
ECHS1,"Enoyl-CoA Hydratase, Short Chain 1",Protein Coding,P30084,59,GC10M133362,15.96,
PHYH,Phytanoyl-CoA 2-Hydroxylase,Protein Coding,O14832,57,GC10M013277,15.94,
LOC126859646,MED14-Independent Group 3 Enhancer GRCh37_chr6:30889690-30890889,Functional Element,,6,GC06P185756,15.92,
PLA2G7,Phospholipase A2 Group VII,Protein Coding,Q13093,63,GC06M046704,15.87,
KCNH2,Potassium Voltage-Gated Channel Subfamily H Member 2,Protein Coding,Q12809,63,GC07M150944,15.87,
IDS,Iduronate 2-Sulfatase,Protein Coding,P22304,60,GC0XM149476,15.85,
SLC25A4,Solute Carrier Family 25 Member 4,Protein Coding,P12235,61,GC04P185143,15.84,
PRORP,Protein Only RNase P Catalytic Subunit,Protein Coding,O15091,48,GC14P057760,15.82,
OXT,Oxytocin/Neurophysin I Prepropeptide,Protein Coding,P01178,50,GC20P010955,15.82,
SERPINE1,Serpin Family E Member 1,Protein Coding,P05121,63,GC07P101127,15.8,
PMM2,Phosphomannomutase 2,Protein Coding,O15305,58,GC16P008788,15.8,
ERCC3,"ERCC Excision Repair 3, TFIIH Core Complex Helicase Subunit",Protein Coding,P19447,61,GC02M127257,15.79,
NDUFAF1,NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 1,Protein Coding,Q9Y375,53,GC15M041387,15.74,
MMUT,Methylmalonyl-CoA Mutase,Protein Coding,P22033,58,GC06M049430,15.74,
CYP51A1,Cytochrome P450 Family 51 Subfamily A Member 1,Protein Coding,Q16850,55,GC07M092112,15.73,
VARS1,Valyl-TRNA Synthetase 1,Protein Coding,P26640,55,GC06M106490,15.72,
PTGS1,Prostaglandin-Endoperoxide Synthase 1,Protein Coding,P23219,60,GC09P122370,15.71,
EIF2B2,Eukaryotic Translation Initiation Factor 2B Subunit Beta,Protein Coding,P49770,57,GC14P075002,15.68,
COQ9,Coenzyme Q9,Protein Coding,O75208,54,GC16P057447,15.68,
CTNNB1,Catenin Beta 1,Protein Coding,P35222,67,GC03P041194,15.63,
SERPINF1,Serpin Family F Member 1,Protein Coding,P36955,58,GC17P153476,15.63,
BCAP31,B Cell Receptor Associated Protein 31,Protein Coding,P51572,54,GC0XM153701,15.62,
MCOLN1,Mucolipin TRP Cation Channel 1,Protein Coding,Q9GZU1,56,GC19P151636,15.61,
HMOX2,Heme Oxygenase 2,Protein Coding,P30519,58,GC16P004474,15.6,
GCLC,Glutamate-Cysteine Ligase Catalytic Subunit,Protein Coding,P48506,58,GC06M053497,15.58,
MSRB1,Methionine Sulfoxide Reductase B1,Protein Coding,Q9NZV6,50,GC16M049813,15.54,
COX6B1,Cytochrome C Oxidase Subunit 6B1,Protein Coding,P14854,56,GC19P152393,15.52,
PEX11B,Peroxisomal Biogenesis Factor 11 Beta,Protein Coding,O96011,51,GC01M145911,15.44,
TERT,Telomerase Reverse Transcriptase,Protein Coding,O14746,64,GC05M001253,15.42,
MRPS23,Mitochondrial Ribosomal Protein S23,Protein Coding,Q9Y3D9,51,GC17M057834,15.4,
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene (lncRNA),,37,GC11M001995,15.4,
CPT1B,Carnitine Palmitoyltransferase 1B,Protein Coding,Q92523,58,GC22M086281,15.39,
ATP5F1B,ATP Synthase F1 Subunit Beta,Protein Coding,P06576,57,GC12M060417,15.38,
ASPA,Aspartoacylase,Protein Coding,P45381,57,GC17P003472,15.38,
PYCR2,Pyrroline-5-Carboxylate Reductase 2,Protein Coding,Q96C36,58,GC01M225919,15.38,
TRIM32,Tripartite Motif Containing 32,Protein Coding,Q13049,55,GC09P116687,15.37,
ANGPT1,Angiopoietin 1,Protein Coding,Q15389,60,GC08M107246,15.36,
TREX1,Three Prime Repair Exonuclease 1,Protein Coding,Q9NSU2,55,GC03P064970,15.36,
BCKDHB,Branched Chain Keto Acid Dehydrogenase E1 Subunit Beta,Protein Coding,P21953,56,GC06P080106,15.35,
MRPS34,Mitochondrial Ribosomal Protein S34,Protein Coding,P82930,48,GC16M001771,15.34,
GGT1,Gamma-Glutamyltransferase 1,Protein Coding,P19440,62,GC22P024583,15.31,
KRIT1,KRIT1 Ankyrin Repeat Containing,Protein Coding,O00522,54,GC07M092198,15.27,
LAMA2,Laminin Subunit Alpha 2,Protein Coding,P24043,57,GC06P183055,15.26,
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,65,GC10P124078,15.26,
TIMM22,Translocase Of Inner Mitochondrial Membrane 22,Protein Coding,Q9Y584,48,GC17P000997,15.23,
MT-ND1,Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1,Protein Coding,P03886,47,GCMTP003309,15.2,
NR3C2,Nuclear Receptor Subfamily 3 Group C Member 2,Protein Coding,P08235,59,GC04M148078,15.2,
PAH,Phenylalanine Hydroxylase,Protein Coding,P00439,60,GC12M102836,15.18,
PIK3R2,Phosphoinositide-3-Kinase Regulatory Subunit 2,Protein Coding,O00459,62,GC19P018153,15.18,
CYP2C9,Cytochrome P450 Family 2 Subfamily C Member 9,Protein Coding,P11712,59,GC10P094938,15.17,
POMT2,Protein O-Mannosyltransferase 2,Protein Coding,Q9UKY4,55,GC14M077274,15.16,
MAP2K3,Mitogen-Activated Protein Kinase Kinase 3,Protein Coding,P46734,61,GC17P154189,15.13,
SLC2A1,Solute Carrier Family 2 Member 1,Protein Coding,P11166,66,GC01M042925,15.13,
RNASET2,Ribonuclease T2,Protein Coding,O00584,57,GC06M166924,15.11,
PRDX4,Peroxiredoxin 4,Protein Coding,Q13162,53,GC0XP023665,15.09,
PEX2,Peroxisomal Biogenesis Factor 2,Protein Coding,P28328,57,GC08M076980,15.09,
PEX1,Peroxisomal Biogenesis Factor 1,Protein Coding,O43933,57,GC07M092487,15.04,
IBA57,Iron-Sulfur Cluster Assembly Factor IBA57,Protein Coding,Q5T440,48,GC01P228165,15.04,
SELP,Selectin P,Protein Coding,P16109,59,GC01M169558,15.03,
IDUA,Alpha-L-Iduronidase,Protein Coding,P35475,58,GC04P000986,15.03,
MMADHC,Metabolism Of Cobalamin Associated D,Protein Coding,Q9H3L0,55,GC02M149569,15.02,
MRPL3,Mitochondrial Ribosomal Protein L3,Protein Coding,P09001,53,GC03M131462,15,
FGF21,Fibroblast Growth Factor 21,Protein Coding,Q9NSA1,52,GC19P152833,15,
DYNLL1,Dynein Light Chain LC8-Type 1,Protein Coding,P63167,53,GC12P120469,14.99,
AGER,Advanced Glycosylation End-Product Specific Receptor,Protein Coding,Q15109,59,GC06M032180,14.98,
NDUFS5,NADH:Ubiquinone Oxidoreductase Subunit S5,Protein Coding,O43920,51,GC01P039026,14.95,
LONP1,"Lon Peptidase 1, Mitochondrial",Protein Coding,P36776,59,GC19M005691,14.95,
MMP2,Matrix Metallopeptidase 2,Protein Coding,P08253,66,GC16P121565,14.93,
EEF1A1,Eukaryotic Translation Elongation Factor 1 Alpha 1,Protein Coding,P68104,57,GC06M107761,14.92,
IGF1,Insulin Like Growth Factor 1,Protein Coding,P05019,61,GC12M102395,14.92,
NDUFA12,NADH:Ubiquinone Oxidoreductase Subunit A12,Protein Coding,Q9UI09,57,GC12M094898,14.88,
LMNB1,Lamin B1,Protein Coding,P20700,59,GC05P126776,14.86,
PEX13,Peroxisomal Biogenesis Factor 13,Protein Coding,Q92968,51,GC02P061017,14.86,
NPC2,NPC Intracellular Cholesterol Transporter 2,Protein Coding,P61916,56,GC14M074476,14.85,
LYRM4,LYR Motif Containing 4,Protein Coding,Q9HD34,50,GC06M005036,14.84,
GALC,Galactosylceramidase,Protein Coding,P54803,58,GC14M087837,14.84,
FA2H,Fatty Acid 2-Hydroxylase,Protein Coding,Q7L5A8,58,GC16M074712,14.82,
PEX7,Peroxisomal Biogenesis Factor 7,Protein Coding,O00628,55,GC06P136822,14.82,
RPS6KA5,Ribosomal Protein S6 Kinase A5,Protein Coding,O75582,58,GC14M090847,14.82,
CHAT,Choline O-Acetyltransferase,Protein Coding,P28329,61,GC10P049609,14.81,
GPX4,Glutathione Peroxidase 4,Protein Coding,P36969,60,GC19P001103,14.8,
ANXA5,Annexin A5,Protein Coding,P08758,60,GC04M121667,14.76,
SCARNA5,Small Cajal Body-Specific RNA 5,RNA Gene (scaRNA),,28,GC02P233275,14.76,
SMAD3,SMAD Family Member 3,Protein Coding,P84022,66,GC15P067063,14.75,
PTPN11,Protein Tyrosine Phosphatase Non-Receptor Type 11,Protein Coding,Q06124,67,GC12P112418,14.75,
BCL2L1,BCL2 Like 1,Protein Coding,Q07817,62,GC20M031664,14.74,
MAP2K7,Mitogen-Activated Protein Kinase Kinase 7,Protein Coding,O14733,58,GC19P007903,14.74,
ATXN2,Ataxin 2,Protein Coding,Q99700,56,GC12M111443,14.73,
PTS,6-Pyruvoyltetrahydropterin Synthase,Protein Coding,Q03393,58,GC11P112226,14.71,
SELE,Selectin E,Protein Coding,P16581,57,GC01M169722,14.71,
TEFM,"Transcription Elongation Factor, Mitochondrial",Protein Coding,Q96QE5,47,GC17M030897,14.7,
RNASEH2C,Ribonuclease H2 Subunit C,Protein Coding,Q8TDP1,51,GC11M065714,14.7,
SLC25A1,Solute Carrier Family 25 Member 1,Protein Coding,P53007,58,GC22M085596,14.7,
ARSA,Arylsulfatase A,Protein Coding,P15289,60,GC22M050622,14.69,
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,P49841,64,GC03M119821,14.69,
SREBF2,Sterol Regulatory Element Binding Transcription Factor 2,Protein Coding,Q12772,55,GC22P041833,14.69,
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,P38398,63,GC17M043044,14.64,
POMT1,Protein O-Mannosyltransferase 1,Protein Coding,Q9Y6A1,58,GC09P131502,14.6,
RNASEH2A,Ribonuclease H2 Subunit A,Protein Coding,O75792,57,GC19P151931,14.57,
EGF,Epidermal Growth Factor,Protein Coding,P01133,64,GC04P109912,14.55,
RNASEH2B,Ribonuclease H2 Subunit B,Protein Coding,Q5TBB1,48,GC13P050909,14.55,
LINC02605,Long Intergenic Non-Protein Coding RNA 2605,RNA Gene (lncRNA),,21,GC08P078838,14.55,
PRKDC,"Protein Kinase, DNA-Activated, Catalytic Subunit",Protein Coding,P78527,63,GC08M047773,14.55,
SESN2,Sestrin 2,Protein Coding,P58004,51,GC01P076543,14.54,
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,65,GC03P179148,14.54,
CTC1,CST Telomere Replication Complex Component 1,Protein Coding,Q2NKJ3,48,GC17M096249,14.53,
MLC1,Modulator Of VRAC Current 1,Protein Coding,Q15049,53,GC22M050059,14.53,
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P15056,67,GC07M140793,14.52,
CYP2U1,Cytochrome P450 Family 2 Subfamily U Member 1,Protein Coding,Q7Z449,55,GC04P107931,14.51,
BCHE,Butyrylcholinesterase,Protein Coding,P06276,62,GC03M165772,14.51,
EP300,E1A Binding Protein P300,Protein Coding,Q09472,65,GC22P092249,14.5,
TTN,Titin,Protein Coding,Q8WZ42,61,GC02M178525,14.49,
DNM1L,Dynamin 1 Like,Protein Coding,O00429,61,GC12P032679,14.48,
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,68,GC07P055019,14.47,
ACADSB,Acyl-CoA Dehydrogenase Short/Branched Chain,Protein Coding,P45954,58,GC10P123008,14.46,
COX15,Cytochrome C Oxidase Assembly Homolog COX15,Protein Coding,Q7KZN9,55,GC10M099696,14.43,
NDUFA7,NADH:Ubiquinone Oxidoreductase Subunit A7,Protein Coding,O95182,50,GC19M008308,14.42,
STK25,Serine/Threonine Kinase 25,Protein Coding,O00506,51,GC02M241492,14.42,
FKBP5,FKBP Prolyl Isomerase 5,Protein Coding,Q13451,62,GC06M106625,14.42,
COA8,Cytochrome C Oxidase Assembly Factor 8,Protein Coding,Q96IL0,42,GC14P120457,14.41,
CYP11A1,Cytochrome P450 Family 11 Subfamily A Member 1,Protein Coding,P05108,62,GC15M074337,14.41,
RAC1,Rac Family Small GTPase 1,Protein Coding,P63000,62,GC07P019033,14.4,
MUTYH,MutY DNA Glycosylase,Protein Coding,Q9UIF7,58,GC01M045329,14.39,
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,Protein Coding,P33261,58,GC10P094762,14.39,
PDHA1,Pyruvate Dehydrogenase E1 Subunit Alpha 1,Protein Coding,P08559,60,GC0XP019343,14.38,
LPL,Lipoprotein Lipase,Protein Coding,P06858,63,GC08P019901,14.36,
ATP5PB,ATP Synthase Peripheral Stalk-Membrane Subunit B,Protein Coding,P24539,52,GC01P112050,14.36,
MT-CO1,Mitochondrially Encoded Cytochrome C Oxidase I,Protein Coding,P00395,47,GCMTP005906,14.36,
CS,Citrate Synthase,Protein Coding,O75390,58,GC12M056271,14.35,
HBA1,Hemoglobin Subunit Alpha 1,Protein Coding,P69905,56,GC16P120095,14.35,
ADRB2,Adrenoceptor Beta 2,Protein Coding,P07550,62,GC05P159202,14.34,
CLN6,CLN6 Transmembrane ER Protein,Protein Coding,Q9NWW5,50,GC15M068206,14.31,
TIA1,TIA1 Cytotoxic Granule Associated RNA Binding Protein,Protein Coding,P31483,54,GC02M070209,14.31,
HTRA1,HtrA Serine Peptidase 1,Protein Coding,Q92743,57,GC10P125997,14.3,
TRMT5,TRNA Methyltransferase 5,Protein Coding,Q32P41,52,GC14M060971,14.3,
LOC110806262,Solute Carrier Family 6 Member 4 Gene Promoter,Functional Element,,9,GC17P030235,14.28,
KCNE1,Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 1,Protein Coding,P15382,58,GC21M034446,14.26,
CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,Protein Coding,P05093,62,GC10M102830,14.26,
SPG11,"SPG11 Vesicle Trafficking Associated, Spatacsin",Protein Coding,Q96JI7,52,GC15M048180,14.25,
PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,P12004,63,GC20M005114,14.25,
CD40,CD40 Molecule,Protein Coding,P25942,63,GC20P046118,14.24,
UCP3,Uncoupling Protein 3,Protein Coding,P55916,54,GC11M074000,14.24,
NOTCH1,Notch Receptor 1,Protein Coding,P46531,66,GC09M139264,14.23,
PEX12,Peroxisomal Biogenesis Factor 12,Protein Coding,O00623,51,GC17M035574,14.23,
CD40LG,CD40 Ligand,Protein Coding,P29965,62,GC0XP136649,14.22,
RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P04049,67,GC03M012583,14.21,
DLD,Dihydrolipoamide Dehydrogenase,Protein Coding,P09622,62,GC07P110986,14.21,
PEX19,Peroxisomal Biogenesis Factor 19,Protein Coding,P40855,56,GC01M160276,14.2,
EHHADH,Enoyl-CoA Hydratase And 3-Hydroxyacyl CoA Dehydrogenase,Protein Coding,Q08426,55,GC03M185190,14.18,
PEX6,Peroxisomal Biogenesis Factor 6,Protein Coding,Q13608,53,GC06M042963,14.17,
ATF3,Activating Transcription Factor 3,Protein Coding,P18847,57,GC01P212565,14.14,
L2HGDH,L-2-Hydroxyglutarate Dehydrogenase,Protein Coding,Q9H9P8,52,GC14M050237,14.12,
ARG2,Arginase 2,Protein Coding,P78540,59,GC14P067619,14.1,
MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,Protein Coding,P36507,67,GC19M004090,14.05,
CSF1R,Colony Stimulating Factor 1 Receptor,Protein Coding,P07333,65,GC05M150053,14.04,
SUCLG1,Succinate-CoA Ligase GDP/ADP-Forming Subunit Alpha,Protein Coding,P53597,58,GC02M084423,14.04,
FKTN,Fukutin,Protein Coding,O75072,52,GC09P105558,14.04,
MFN2,Mitofusin 2,Protein Coding,O95140,61,GC01P011980,14.01,
HERPUD1,Homocysteine Inducible ER Protein With Ubiquitin Like Domain 1,Protein Coding,Q15011,46,GC16P056932,14,
