Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
COX7A2,Cytochrome C Oxidase Subunit 7A2,Protein Coding,P14406,50,GC06M075237,5.4,
PTPN2,Protein Tyrosine Phosphatase Non-Receptor Type 2,Protein Coding,P17706,59,GC18M038212,5.39,
MTF1,Metal Regulatory Transcription Factor 1,Protein Coding,Q14872,52,GC01M037810,5.39,
HK1,Hexokinase 1,Protein Coding,P19367,63,GC10P069269,5.39,
UGT1A7,UDP Glucuronosyltransferase Family 1 Member A7,Protein Coding,Q9HAW7,52,GC02P233681,5.38,
YTHDF3,YTH N6-Methyladenosine RNA Binding Protein F3,Protein Coding,Q7Z739,48,GC08P063168,5.38,
MYH9,Myosin Heavy Chain 9,Protein Coding,P35579,60,GC22M036281,5.38,
CDC25A,Cell Division Cycle 25A,Protein Coding,P30304,61,GC03M048385,5.38,
NPR1,Natriuretic Peptide Receptor 1,Protein Coding,P16066,58,GC01P176657,5.37,
FLCN,Folliculin,Protein Coding,Q8NFG4,55,GC17M017212,5.37,
PSMD8,"Proteasome 26S Subunit, Non-ATPase 8",Protein Coding,P48556,53,GC19P038374,5.37,
SLC40A1,Solute Carrier Family 40 Member 1,Protein Coding,Q9NP59,61,GC02M189560,5.37,
SERPINA4,Serpin Family A Member 4,Protein Coding,P29622,54,GC14P094561,5.37,
ALDH18A1,Aldehyde Dehydrogenase 18 Family Member A1,Protein Coding,P54886,58,GC10M095605,5.36,
ATP5ME,ATP Synthase Membrane Subunit E,Protein Coding,P56385,50,GC04M006234,5.36,
MT-TH,Mitochondrially Encoded TRNA-His (CAU/C),RNA Gene (tRNA),,22,GCMTP012140,5.36,
HDAC4,Histone Deacetylase 4,Protein Coding,P56524,65,GC02M239048,5.36,
CAMK4,Calcium/Calmodulin Dependent Protein Kinase IV,Protein Coding,Q16566,60,GC05P111223,5.35,
ENDOV,Endonuclease V,Protein Coding,Q8N8Q3,42,GC17P080415,5.35,
TPT1,"Tumor Protein, Translationally-Controlled 1",Protein Coding,P13693,60,GC13M045333,5.34,
LOC126861242,CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr11:67379204-67380403,Functional Element,,8,GC11P109351,5.34,
CD69,CD69 Molecule,Protein Coding,Q07108,54,GC12M035789,5.34,
TRIM28,Tripartite Motif Containing 28,Protein Coding,Q13263,57,GC19P058544,5.34,
S100A1,S100 Calcium Binding Protein A1,Protein Coding,P23297,51,GC01P153627,5.34,
PAOX,Polyamine Oxidase,Protein Coding,Q6QHF9,51,GC10P133379,5.34,
MIR223,MicroRNA 223,RNA Gene (miRNA),,30,GC0XP066018,5.34,
HPS6,HPS6 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 3,Protein Coding,Q86YV9,50,GC10P102065,5.34,
PNMT,Phenylethanolamine N-Methyltransferase,Protein Coding,P11086,57,GC17P039667,5.33,
GSTA5,Glutathione S-Transferase Alpha 5,Protein Coding,Q7RTV2,45,GC06M052831,5.33,
DNAJC10,DnaJ Heat Shock Protein Family (Hsp40) Member C10,Protein Coding,Q8IXB1,48,GC02P182716,5.33,
CDK9,Cyclin Dependent Kinase 9,Protein Coding,P50750,59,GC09P152847,5.33,
BAG5,BAG Cochaperone 5,Protein Coding,Q9UL15,51,GC14M103556,5.32,
TPM3,Tropomyosin 3,Protein Coding,P06753,60,GC01M154155,5.32,
HPS5,HPS5 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 2,Protein Coding,Q9UPZ3,51,GC11M018278,5.32,
RNY1,"RNA, Ro60-Associated Y1",RNA Gene (Y_RNA),,24,GC07M148987,5.32,
AIF1,Allograft Inflammatory Factor 1,Protein Coding,P55008,51,GC06P181892,5.32,
MT-TI,Mitochondrially Encoded TRNA-Ile (AUU/C),RNA Gene (tRNA),,21,GCMTP004265,5.32,
FAM161A,FAM161 Centrosomal Protein A,Protein Coding,Q3B820,45,GC02M061792,5.32,
PSMD2,"Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 2",Protein Coding,Q13200,55,GC03P185761,5.31,
SERPINA6,Serpin Family A Member 6,Protein Coding,P08185,58,GC14M124249,5.31,
LOC654780,Splicing Factor Proline/Glutamine-Rich,RNA Gene (lncRNA),,20,GC16M084193,5.31,
GGCX,Gamma-Glutamyl Carboxylase,Protein Coding,P38435,60,GC02M085544,5.31,
CBR1,Carbonyl Reductase 1,Protein Coding,P16152,57,GC21P036069,5.31,
FAF2,Fas Associated Factor Family Member 2,Protein Coding,Q96CS3,51,GC05P176447,5.3,
CD68,CD68 Molecule,Protein Coding,P34810,52,GC17P007579,5.3,
FREM2,FRAS1 Related Extracellular Matrix 2,Protein Coding,Q5SZK8,48,GC13P038687,5.3,
URM1,Ubiquitin Related Modifier 1,Protein Coding,Q9BTM9,43,GC09P128371,5.3,
RPGRIP1,RPGR Interacting Protein 1,Protein Coding,Q96KN7,52,GC14P057316,5.3,
TYRP1,Tyrosinase Related Protein 1,Protein Coding,P17643,58,GC09P012683,5.29,
SLC27A2,Solute Carrier Family 27 Member 2,Protein Coding,O14975,57,GC15P050182,5.28,
PLIN5,Perilipin 5,Protein Coding,Q00G26,43,GC19M004522,5.28,
YWHAB,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Beta,Protein Coding,P31946,60,GC20P044885,5.28,
FBXW11,F-Box And WD Repeat Domain Containing 11,Protein Coding,Q9UKB1,54,GC05M171861,5.28,
DNAJB11,DnaJ Heat Shock Protein Family (Hsp40) Member B11,Protein Coding,Q9UBS4,51,GC03P186567,5.27,
XPNPEP3,X-Prolyl Aminopeptidase 3,Protein Coding,Q9NQH7,54,GC22P040857,5.27,
GPI,Glucose-6-Phosphate Isomerase,Protein Coding,P06744,60,GC19P034359,5.27,
PSMD13,"Proteasome 26S Subunit, Non-ATPase 13",Protein Coding,Q9UNM6,53,GC11P000236,5.27,
PSMC2,"Proteasome 26S Subunit, ATPase 2",Protein Coding,P35998,54,GC07P103328,5.27,
ACP5,"Acid Phosphatase 5, Tartrate Resistant",Protein Coding,P13686,59,GC19M011574,5.26,
SNHG16,Small Nucleolar RNA Host Gene 16,RNA Gene (lncRNA),,27,GC17P155627,5.26,
HK2,Hexokinase 2,Protein Coding,P52789,58,GC02P075491,5.26,
SIRPA,Signal Regulatory Protein Alpha,Protein Coding,P78324,58,GC20P001894,5.26,
HNRNPA2B1,Heterogeneous Nuclear Ribonucleoprotein A2/B1,Protein Coding,P22626,60,GC07M026174,5.25,
ATG4B,Autophagy Related 4B Cysteine Peptidase,Protein Coding,Q9Y4P1,54,GC02P241637,5.25,
HGSNAT,Heparan-Alpha-Glucosaminide N-Acetyltransferase,Protein Coding,Q68CP4,48,GC08P043140,5.25,
MMP8,Matrix Metallopeptidase 8,Protein Coding,P22894,60,GC11M140389,5.25,
LOC107372315,OSGEP/APEX1 Bi-Directional Promoter Region,Functional Element,,7,GC14P057219,5.25,
HTR3A,5-Hydroxytryptamine Receptor 3A,Protein Coding,P46098,58,GC11P113975,5.24,
TRPC6,Transient Receptor Potential Cation Channel Subfamily C Member 6,Protein Coding,Q9Y210,62,GC11M101451,5.24,
OPRD1,Opioid Receptor Delta 1,Protein Coding,P41143,55,GC01P028812,5.24,
OGT,O-Linked N-Acetylglucosamine (GlcNAc) Transferase,Protein Coding,O15294,60,GC0XP072033,5.24,
DNAJB9,DnaJ Heat Shock Protein Family (Hsp40) Member B9,Protein Coding,Q9UBS3,47,GC07P108569,5.24,
PDSS2,Decaprenyl Diphosphate Synthase Subunit 2,Protein Coding,Q86YH6,54,GC06M107152,5.24,
SOX2-OT,SOX2 Overlapping Transcript,RNA Gene (lncRNA),,32,GC03P180989,5.24,
VRK3,VRK Serine/Threonine Kinase 3,Protein Coding,Q8IV63,50,GC19M049976,5.24,
GNAI1,G Protein Subunit Alpha I1,Protein Coding,P63096,60,GC07P095361,5.23,
CREB3L3,CAMP Responsive Element Binding Protein 3 Like 3,Protein Coding,Q68CJ9,50,GC19P004153,5.23,
SKP2,S-Phase Kinase Associated Protein 2,Protein Coding,Q13309,58,GC05P036151,5.23,
CYP4V2,Cytochrome P450 Family 4 Subfamily V Member 2,Protein Coding,Q6ZWL3,51,GC04P186191,5.23,
HNRNPD,Heterogeneous Nuclear Ribonucleoprotein D,Protein Coding,Q14103,55,GC04M082352,5.23,
KCNN4,Potassium Calcium-Activated Channel Subfamily N Member 4,Protein Coding,O15554,61,GC19M108842,5.22,
ADCY1,Adenylate Cyclase 1,Protein Coding,Q08828,61,GC07P045580,5.22,
CTNNA3,Catenin Alpha 3,Protein Coding,Q9UI47,54,GC10M065912,5.22,
