NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY		17	0.32872573	0.84168863	0.67764705	1.0	1.0	2183	tags=24%, list=11%, signal=26%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_RASD1_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_RASD1_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY		27	0.29771852	0.83833134	0.70069605	1.0	1.0	3126	tags=26%, list=16%, signal=31%	
KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE		30	0.28407317	0.83375806	0.7445783	1.0	1.0	5062	tags=40%, list=26%, signal=54%	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_RAS_ERK_SIGNALING_PATHWAY		17	0.32565206	0.82385164	0.6880531	1.0	1.0	6879	tags=53%, list=35%, signal=82%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_FGF17_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_FGF17_TO_RAS_ERK_SIGNALING_PATHWAY		15	0.3390806	0.80978394	0.6958525	1.0	1.0	7427	tags=53%, list=38%, signal=86%	
KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER		18	0.31126094	0.8066488	0.7505774	1.0	1.0	4512	tags=33%, list=23%, signal=43%	
KEGG_MEDICUS_VARIANT_IGF2_OVEREXPRESSION_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_IGF2_OVEREXPRESSION_TO_RAS_ERK_SIGNALING_PATHWAY		15	0.32580602	0.80154276	0.7488987	1.0	1.0	6879	tags=47%, list=35%, signal=72%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY		21	0.30867174	0.8015269	0.78229666	1.0	1.0	6000	tags=52%, list=31%, signal=76%	
KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY		31	0.27811423	0.7979535	0.79361176	1.0	1.0	3039	tags=16%, list=16%, signal=19%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY		24	0.29169014	0.7955108	0.77676535	1.0	1.0	4245	tags=33%, list=22%, signal=43%	
KEGG_MEDICUS_REFERENCE_DRD1_GNAS_AC_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_DRD1_GNAS_AC_PKA_SIGNALING_PATHWAY		16	0.32249394	0.794082	0.75730336	1.0	1.0	3126	tags=19%, list=16%, signal=22%	
KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY		25	0.2906658	0.7900454	0.78555304	1.0	1.0	3147	tags=32%, list=16%, signal=38%	
KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY		15	0.31664985	0.7852656	0.7431818	1.0	1.0	6879	tags=47%, list=35%, signal=72%	
KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY		22	0.29755405	0.78146654	0.8240964	1.0	1.0	5271	tags=32%, list=27%, signal=44%	
KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY		24	0.28570738	0.7789076	0.793911	1.0	1.0	2089	tags=13%, list=11%, signal=14%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY		15	0.32292286	0.77855194	0.7699531	1.0	1.0	1993	tags=20%, list=10%, signal=22%	
KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY		23	0.28813243	0.770802	0.80429596	1.0	1.0	2089	tags=13%, list=11%, signal=15%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I		36	0.2562012	0.76015705	0.8518519	1.0	1.0	6545	tags=44%, list=34%, signal=67%	
KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY		27	0.26968017	0.7597769	0.8670077	1.0	1.0	3126	tags=26%, list=16%, signal=31%	
KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION	KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION		15	0.31063947	0.75141495	0.83372366	1.0	1.0	2136	tags=20%, list=11%, signal=22%	
KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY		28	0.2656939	0.74580127	0.8815166	1.0	1.0	3448	tags=21%, list=18%, signal=26%	
KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY		23	0.2772627	0.7455724	0.8765432	1.0	1.0	4969	tags=22%, list=26%, signal=29%	
KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY		20	0.27693513	0.7376592	0.8348416	1.0	1.0	4305	tags=20%, list=22%, signal=26%	
KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY		22	0.27990597	0.722531	0.8806683	1.0	1.0	5184	tags=45%, list=27%, signal=62%	
