symbol,GSM1480043,GSM1480044,GSM1480045,GSM1480046,GSM1480047,GSM1480048,GSM1480049,GSM1480050,GSM1480051,GSM1480052,GSM1480053,GSM1480054,GSM1480055,GSM1480056,GSM1480057,GSM1480058,GSM1480059,GSM1480060,GSM1480061,GSM1480062,GSM1480063,GSM1480064,GSM1480065,GSM1480066,GSM1480067,GSM1480068,GSM1480069,GSM1480070,GSM1480071,GSM1480072,GSM1480073,GSM1480074,GSM1480075,GSM1480076,GSM1480077,GSM1480078,GSM1480079,GSM1480080,GSM1480081,GSM1480082,GSM1480083,GSM1480084,GSM1480085,GSM1480086,GSM1480087,GSM1480088,GSM1480089,GSM1480090
TPP1,9.84005,11.252993,10.625819,10.828996,10.892397,10.979793,10.834454,11.033677,11.200434,11.368462,10.970848,11.540799,11.254333,11.266636,11.488231,10.905329,11.2174,11.075735,10.774526,11.188349,11.053698,10.984589,11.061368,10.36801,10.515849,10.898018,10.786315,10.57317,11.376224,11.071356,10.369661,10.206119,10.784415,10.942702,10.585136,10.72094,10.904496,11.348839,11.053698,10.770388,10.429951,11.030382,10.490138,10.516605,10.899783,10.418724,10.907196,10.519011
CYB5R1,11.17338,10.797212,10.387505,10.242782,10.437327,10.821109,9.866506,10.435027,10.651257,10.569542,10.277832,10.240731,10.581447,10.836116,10.069073,10.313537,10.613916,9.304859,9.824488,11.004235,11.04836,10.527322,11.382261,10.320354,9.510187,9.601797,9.914534,10.082418,10.325959,9.848016,10.907629,12.086896,10.638747,10.381313,10.354278,10.772144,10.125903,10.725011,10.36741,10.392116,9.985357,10.766461,10.130452,9.952653,10.46584,10.672757,10.285741,10.53296
MYH4,5.086955,6.242017,5.97797,6.298515,6.357968,6.228692,6.689877,6.532805,6.346563,6.412388,7.255202,6.595284,6.385102,6.565033,6.834151,6.650748,6.622383,6.272857,6.241878,6.662664,6.5732,6.37912,6.172754,6.737285,5.705457,5.441776,6.568157,5.976133,6.685416,5.578034,6.013063,5.148842,6.544895,6.108605,6.569692,6.367391,5.971853,6.390916,6.318574,6.820999,6.864375,6.790969,5.810991,6.046346,6.517566,5.782928,6.576196,6.011247
DIP2A,5.821045333,5.3685685,5.465204167,5.446529833,5.553329667,5.562014833,5.561377167,5.631422833,5.4899795,5.5807095,5.418069667,5.633038,5.500261167,5.439473667,5.4099585,5.3860625,5.236357333,5.322941667,5.332694833,5.414214667,5.386156,5.336607167,5.541924667,5.326124,5.3267645,5.560118333,5.526042167,5.421937833,5.6044725,5.4026065,5.6093865,5.696276,5.486257167,5.369876667,5.576034833,5.5103355,5.432208333,5.554414667,5.527860667,5.4455905,5.449245333,5.463031167,5.4935805,5.384136667,5.548253667,5.7078475,5.423964667,5.461354
SPHK2,9.361345,9.487948,9.435969,9.594394,9.481935,9.382486,9.348649,9.635736,9.565018,9.41637,9.585388,9.424572,9.214202,9.431854,9.115801,9.607411,9.598544,8.916133,9.354671,9.572506,9.195851,9.193799,9.367924,9.616866,9.387498,9.275227,9.368392,9.309693,9.48044,9.372932,9.270285,9.221773,9.270694,9.373322,9.461911,8.961226,8.976659,9.402936,9.49032,9.826478,9.421591,9.273105,9.694314,9.438176,9.846453,9.236073,9.34697,9.156498
NMUR1,4.899785,4.713158,5.504808,4.95505,4.954975,4.626515,5.022016,4.744755,4.692022,5.197238,4.875866,5.339632,5.379538,4.750844,5.144674,4.69403,4.613645,4.55014,4.655934,4.744657,4.639653,4.750775,4.57183,5.042578,4.891152,4.819791,4.721893,5.108277,4.837217,4.849421,4.721321,4.630445,4.91348,4.7254,5.183862,5.038821,4.609279,4.678825,4.959216,4.77895,4.865581,4.884337,4.772069,5.101863,5.130734,4.807443,5.086955,4.746946
RNF130,6.648626,7.11214,7.167433,7.072392,7.1273265,6.8843765,7.469892,7.2497775,7.158362,7.5723295,7.3160235,7.6679985,7.1737495,7.1085455,7.359233,7.1217925,7.1596305,7.3199965,7.0537815,7.084024,6.973494,7.0901805,6.9368105,7.1261735,6.9209235,7.03741,7.058434,7.025406,6.9240505,7.097779,7.111918,6.6516015,7.2751745,7.3581085,7.246401,7.301761,7.1102195,7.157704,7.1479985,7.082397,7.060266,7.0175995,7.1856125,7.191538,7.1553025,6.999919,7.3221675,6.9626115
PRG2,14.218432,12.652412,14.367987,14.261487,14.015877,14.291707,14.008945,14.367987,13.3594,11.201853,13.762126,14.122265,14.136152,14.218432,14.291707,13.123771,8.205114,7.48941,9.027905,14.330171,14.291707,14.595955,14.291707,8.229643,14.166475,14.487454,9.833091,14.199808,7.936207,6.055503,14.182432,14.24004,14.330171,10.630716,13.973104,14.487454,14.291707,13.643796,11.897964,7.213486,7.927825,14.487454,14.122265,14.24004,13.961769,14.487454,14.330171,14.330171
TOR1AIP1,9.366014,10.0421705,10.069687,10.1888525,10.0848455,9.776944,9.916089,9.956369,9.9789255,9.9065995,10.125787,9.811714,10.0088435,9.5095695,9.690554,9.7062215,9.9921895,9.878831,10.0762785,9.9668755,10.114216,10.086689,9.978948,9.8611105,9.8341465,10.2395865,10.1175085,9.982214,9.946008,9.926859,9.7005845,9.526413,9.987557,10.131808,9.7192065,9.791194,10.282136,9.6987735,9.9817925,9.962428,10.0875955,10.045104,9.815018,10.109465,9.8257085,10.160878,9.869533,9.98322
USP7,8.377652,7.86635,7.578748,7.319387,7.476212,7.776643,8.051411,7.982671,7.907051,8.092227,7.88064,8.108425,7.551401,7.953334,7.982671,7.477713,7.625235,7.83114,7.70295,7.733889,7.816528,7.480586,7.782559,7.880296,7.662681,7.635821,7.688117,7.590803,7.749867,7.79268,7.763348,7.985816,8.183933,7.233696,7.831332,7.740348,7.297572,7.585813,7.693964,7.752274,7.724455,7.640273,7.449232,7.658663,7.541578,7.627455,7.540093,7.287401
