"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM1480072",0,0,0,0.0123162494664838,0,0.16114280624461,0.000396441703384162,0.00674943995469071,0.009812836133519,0,0.0969963563359718,0.163935237635696,0.0396866919257029,0,0.0149311708045403,0.317155651748464,0,0.018018365513297,0.15885875253364,0,0,0,0.017,0.204286977088494,1.02551748640858
"GSM1480073",0.00495786137921839,0.00305952875425813,0,0,0.0451370937486293,0.0586081648537593,0.0167722719541349,0,0.011570680348175,0.0236190000271252,0.177464150706165,0,0.419300499416308,0.107052886259699,0.00269036466793514,0.0341100209785431,0,0.00713907647207054,0.0140407508897821,0,0,0.0744776495441966,0.0590000000000001,0.146209718095967,1.06626617482413
"GSM1480074",0.0182494180643467,0,0,0,0,0.118218190850047,0,0.0195144830575302,0.0114301038818592,0.00533994202067524,0.0105882284098995,0.0363856957149511,0.221969097867008,0,0.0364660780854809,0.386085783843142,0,0.0726356501233779,0.0497226416313977,0,0,0.0133946864502849,0.282,0.0512484949081566,1.08282087996743
"GSM1480075",0.0162102615128471,0,0,0.0511768043769695,0,0.0499454067343384,0.0314734626703115,0,0.00677478007538198,0.00159741183316639,0.207601334733137,0,0.358333506305672,0.0568890381054793,0.0072196292571462,0.0711961944199332,0,0,0.0418249987525768,0,0,0.0997571712230407,0.005,0.28580615342039,0.989485532592048
"GSM1480076",0.0133425794280684,0,0,0.0343566245488324,0,0.249223259319043,0.0151482296659323,0,0.000907218994467703,0,0.152872007696401,0.0139994185649435,0.222399614748336,0,0.0588286405085999,0.195187712904516,0,0,0.0437346936208599,0,0,0,0.00600000000000001,0.280055034415412,0.97530930071053
"GSM1480077",0.00865888522318495,0,0.0056646798024323,0,0,0.2138500380932,0,0,0.0235373991327387,0,0.195166279089399,0.137689572916192,0.0754148748656833,0.0251042035637883,0.0178280224155703,0.107520527628361,0,0.0126199929576669,0.176945524311782,0,0,0,0.012,0.218983611826431,1.02932468715669
"GSM1480078",0.00781843362040378,0,0,0,0,0.232887838208509,0.013995345019,0,0.0214813651743706,0.0353837497660304,0.0779346236984485,0.0292534048293272,0.289146937911936,0,0.0347759603703505,0.150193652756452,0.000119143894753634,0,0.107009544750419,0,0,0,0.00900000000000001,0.233919174402483,0.994549688090434
"GSM1480079",0,0,0.00127862416310951,0.0766557050406484,0,0.366220482227389,0.00632229780721322,0,0,0.0861401087184631,0.0582611111351571,0,0.00805601909785198,0,0.0478539444847701,0.267395444916118,0,0.000712129000613822,0.0811041334086659,0,0,0,0.133,0.09333719817709,1.06592880416566
"GSM1480080",0.00577478784658564,0.00114763395564442,0.00171650709076475,0,0,0.222045411720053,0.0104511270649595,0,0.0304231005923674,0,0.123921187691089,0.101232022921053,0.180125266434702,0.014680601659124,0.00321275793209589,0.178893806677313,0,0.00399643689672931,0.122379351517519,0,0,0,0.052,0.154807580456465,1.03730157320446
"GSM1480081",0.00429561236145236,0.000867842455199251,0,0.035482356337209,0,0.122505631937742,0.0354782165138639,0,0.0288112668752197,0,0.283116662254422,0.0764106583748228,0.0450102682786997,0.0186432413122943,0.0160311478310298,0.179159653641297,0.000210749365725211,0,0.150480769322276,0,0,0.0034959231387475,0.00800000000000001,0.247105277675868,1.01772587613606
"GSM1480082",0.0171470278930752,0,0.000402133180354774,0,0,0.332579023831152,0.0299676120282789,0.00772730319720705,0.0474388121714342,0,0.245013574804398,0,0.0232237170856387,0,0.00691927998381956,0.179805971308015,0,0.0679585411343038,0.0375621446480949,0,0,0.00425485873422751,0.075,0.129956369124566,1.05690445699818
"GSM1480083",0.00403736053637269,0,0.00739701979456067,0.111299143334788,0,0.120818582323931,0.00424908655817306,0.00548381433838501,0.0112588731385484,0,0.197813575505061,0.108603553548484,0.0542133278919214,0,0.0260905134347241,0.247604295111154,0.00133557502081507,0.00152092833732856,0.0982743511257537,0,0,0,0.012,0.218831959559021,1.02773973373293
"GSM1480084",1.85588715076921e-05,0,0,0.0115315588856131,0,0.111930776016166,0.0204466455678925,0,0.0337109209151008,0,0.244071701446591,0.0698518650727229,0.0238135884989335,0,0.0228927563093381,0.316214560853731,0,0.00458997903740747,0.135895216838301,0,0,0.00503187168669468,0.054,0.150878063965922,1.05607938122366
"GSM1480085",0,0,0,0,0,0.242234918218832,0.00174075347411826,0,0.00616362479917246,0,0.207547236041,0.0302003139435204,0.131919297759851,0.00516715402082723,0.0522502774425405,0.173760788257671,0,0,0.124043823839447,0,0,0.0249718122030212,0.04,0.166990705996373,1.03076724890516
"GSM1480086",0.0150738679736371,0,0,0.0458102105266265,0,0.166430907875875,0,0.00092648424689515,0.00203916555281755,0.00647951762699349,0.25517117797785,0.087570233595289,0.199357065189775,0.0351431018977024,0.0364691262171656,0.116550069404825,0,0,0.0329790719145481,0,0,0,0.041,0.16506917731176,1.06325159487569
"GSM1480087",0.00719587834845183,0.000799445140795892,0.00213000636825855,0,0,0.0845739539241984,0.0167907655912433,0,0.0374703696426058,0,0.19326286205706,0.118619216529755,0.139838070536055,0.0168999435960918,0.0255597003993182,0.162809721331449,0.00161242760859817,0,0.189082894493307,0,0,0.00335474443281201,0.00600000000000001,0.271892060805841,0.993658450260471
"GSM1480088",0,0,0,0,0,0.179787912109343,0,0,0.02621883854884,0.00658438115705744,0.141693113979275,0.0232803667123758,0.268483754083242,0.05650501995719,0.0399511007239709,0.120824497376551,0,0,0.101033102303988,0,0,0.0356379130481657,0.049,0.1593757524092,1.0304521432577
"GSM1480089",0.00784737566577904,0.000184589929158748,0.00389564062118707,0,0.0299124220414609,0.103560520065937,0.0340094920545216,0,0.0248457720831874,0.0197441957306258,0.168105790427974,0,0.268188806698415,0,0.0049254664175387,0.107600735318739,0,0.00593489561190565,0.0657492790907347,0,0,0.155495018242836,0.002,0.319399358861642,0.966098682587196
"GSM1480090",0,0,0,0,0,0.275449550053107,0,0,0,0.00379647330799356,0.17128476257672,0.0203183290380636,0.0448780648647447,0,0.032942629491597,0.296284106694539,0,0.0233039907675666,0.128880163496761,0,0,0.00286192970890794,0.054,0.150880738993651,1.03315906411487
