"probes","moduleColor","GS.PE","p.GS.PE","MEblack","MEblack","MEmagenta","MEmagenta","MEyellow","MEyellow","MEblue","MEblue","MEpurple","MEpurple","MEturquoise","MEturquoise","MEpink","MEpink","MEbrown","MEbrown","MEgreen","MEgreen","MEgrey","MEgrey"
"TXN2","black",-0.262433605530769,0.0715459515113905,0.510816450494025,0.000207452752705724,0.0933540167268685,0.527970348290491,0.182637829755988,0.214059628970017,-0.0667862660646887,0.651977947450278,-0.0305930710384183,0.836465837663596,0.249118118556334,0.0877326467700237,0.228113204164823,0.118903024926996,-0.204274504946451,0.163715146025516,-0.492476303883137,0.000377025961774829,0.458801758484486,0.00103880436654465
"TMEM120A","black",-0.206560337852962,0.158949847640974,0.763861746498671,2.69434103301148e-10,0.390126762636314,0.00612193011362347,0.581111410842511,1.48617326272348e-05,-0.195747310621144,0.182410511436874,0.0159152894635215,0.914499778118715,-0.037702059089531,0.799176833720238,0.197944463865128,0.177453286647119,-0.340008228036206,0.0180556762444482,-0.599159404070918,6.81705375718471e-06,0.445488045306774,0.00150854401650381
"RASA3","black",-0.452986853733904,0.00122489756362588,0.781914493624808,5.34904622634659e-11,0.516117136504375,0.000173443606431978,0.411547038764381,0.00365954024338497,0.156884258894166,0.286927392260595,-0.00877745212391753,0.952784780238352,0.0456328819925749,0.758097071108421,0.016090577189502,0.913561647754366,-0.591174005684839,9.67989044916754e-06,-0.626457471335858,1.90831632844321e-06,0.543325182118107,6.593826077378e-05
"ZNF197","black",-0.0255881267610644,0.862938436285578,0.786668627263216,3.40618833638109e-11,0.811502508027814,2.63790212839814e-12,0.636193648367299,1.17591721771006e-06,0.262319164330651,0.0716742029129618,0.163360152791135,0.26724405908124,-0.554465513736551,4.32991758267962e-05,-0.0146136244449147,0.921469737974883,-0.47570502778771,0.000632723647461347,-0.60045473560477,6.43440395976961e-06,0.152853371939604,0.299645107686711
"FAM134A","black",-0.524565340389035,0.000129582906466017,0.693885854825514,4.54251583613019e-08,0.22152282419594,0.130236668188388,0.480463896260771,0.000547743296716367,-0.298511931550382,0.03931404687373,-0.163144162234902,0.267885711639367,0.22284220501902,0.127905177676867,0.121548806991363,0.410522356566644,-0.37350690068543,0.00892516865368885,-0.405906709764032,0.00420406507109358,0.620306261043202,2.56941557083644e-06
"BROX","black",0.353287186601061,0.0137730605910926,-0.622795334501886,2.27978766911236e-06,-0.0417826568676851,0.777965525244132,-0.0299070325479963,0.840084599581453,-0.0951490704354525,0.520031095120247,0.00893806399057843,0.9519218279127,-0.0557496011830432,0.706652103010337,-0.627784071354465,1.78822960217534e-06,0.0160850440352716,0.91359125912124,0.306182698342925,0.034301968102179,-0.541104883451874,7.15772860275451e-05
"SCAMP2","black",-0.358605315657106,0.0123193767179637,0.630897601693447,1.53339512641827e-06,0.333528514898859,0.0205248410469957,0.205716131412028,0.160697807237097,0.273910099974224,0.0595801566613192,-0.149278022359889,0.311225131454823,-0.16540988970841,0.261205688802528,0.0907880375896304,0.539422031568674,-0.241056918909052,0.0988390619213293,-0.33830737098835,0.0186781023634323,0.552946280699577,4.58957994186878e-05
"KIF7","black",-0.173897227392686,0.237178141164369,0.740448985899365,1.79418384567285e-09,0.696825517597519,3.7716965356545e-08,0.647182059381636,6.66976393915959e-07,0.166985833683905,0.256625583836769,-0.132291879130063,0.370074630004305,-0.564037800864966,2.98018822879326e-05,-0.101837674487604,0.490981959660031,-0.327614630130125,0.0230211258991494,-0.407864267899003,0.0040075296005307,0.227178286819416,0.120463670818123
"ZNF502","black",-0.139312484602059,0.34498616942923,0.744571750196489,1.30412870544041e-09,0.781694297940879,5.4605543821447e-11,0.696705404180495,3.80062742987082e-08,0.123834014849148,0.401712592987036,0.127170486736072,0.389049062819058,-0.51586672045771,0.000174928553048666,-0.0440111358263612,0.766447820525205,-0.459706247957684,0.00101225199200204,-0.530608548306918,0.000104691421136565,0.129802439131475,0.379227376810364
"C2orf66","black",-0.217504976446086,0.137533090440259,0.497780218756882,0.000318298716795112,0.193578893349854,0.187399486415212,0.107448596380578,0.467280277138236,0.222540390158693,0.128435728876101,-0.0834007548634117,0.573047064688283,-0.205808561413913,0.160505745870095,0.124606070983652,0.398761202028753,0.0130181039375737,0.930021100766357,-0.316394241926354,0.0284600482394991,0.390535372381816,0.00606399537629065
"C15orf61","black",-0.214887792046095,0.142447152103013,0.642688885316593,8.43313096941539e-07,0.684994334865854,7.86839955436002e-08,0.538924177386329,7.75415870867529e-05,0.16257807089275,0.269572277921371,0.120149988421865,0.415969283576372,-0.235049028282963,0.107799627328749,-0.350659151435541,0.0145439008187831,-0.56393121658753,2.99280093637401e-05,-0.582604549446896,1.39582440729078e-05,0.228576088964846,0.118136031817051
"RNF181","black",-0.319704731399852,0.0267541703218481,0.787684092878196,3.0885815832825e-11,0.479046033508695,0.000571918358420049,0.64982737860081,5.79893338965268e-07,-0.165042695883427,0.262280650719413,-0.15063262043524,0.306804654653326,-0.114250933569595,0.439388918876463,0.0587796088764531,0.691481130790018,-0.383516664883185,0.00712837712351103,-0.509807358959127,0.000214574732933309,0.472534355535188,0.000695740698859595
