NAME	TITLE	SCORE	
TNC	TNC	0.26576263	
ACTA1	ACTA1	0.26513374	
DPYSL3	DPYSL3	0.264971	
MYCN	MYCN	0.263596	
CST6	CST6	0.26345062	
CASQ1	CASQ1	0.26306772	
LOC100506530	LOC100506530	0.26290542	
OR51E2	OR51E2	0.2621304	
RERG	RERG	0.26127386	
HBG2	HBG2	0.26078597	
VWCE	VWCE	0.2598406	
TMEM158	TMEM158	0.25877404	
C15orf59	C15orf59	0.25763306	
PIGR	PIGR	0.25745243	
HPGD	HPGD	0.25648302	
KRT8	KRT8	0.2550241	
TES	TES	0.2524668	
FLNC	FLNC	0.2524027	
RBPMS2	RBPMS2	0.25172174	
VGLL1	VGLL1	0.2514419	
MSX1	MSX1	0.25132495	
NCS1	NCS1	0.2504745	
RGMA	RGMA	0.2504073	
FXYD6	FXYD6	0.25040194	
HBG1	HBG1	0.24995607	
IRX2	IRX2	0.24953754	
PHGDH	PHGDH	0.24921224	
HSD3B1	HSD3B1	0.24877605	
PTGER3	PTGER3	0.24733458	
PGM5	PGM5	0.24670182	
BRINP1	BRINP1	0.24665633	
VEGFC	VEGFC	0.24637958	
RASL11A	RASL11A	0.24609962	
CYP4B1	CYP4B1	0.24557237	
RAB23	RAB23	0.245106	
KIAA1210	KIAA1210	0.24482556	
CADPS2	CADPS2	0.24474855	
WISP2	WISP2	0.24425481	
CGA	CGA	0.24397208	
FAT2	FAT2	0.24291758	
POPDC2	POPDC2	0.24102491	
NOG	NOG	0.24088609	
LBP	LBP	0.24061342	
ECM2	ECM2	0.24032472	
CLIC3	CLIC3	0.24010044	
SYNPO2	SYNPO2	0.24002486	
GSTT1	GSTT1	0.23998669	
CLDN19	CLDN19	0.23953065	
ADAM19	ADAM19	0.2394822	
ARHGEF16	ARHGEF16	0.23933807	
CST11	CST11	0.23871855	
KDELC1	KDELC1	0.23853154	
NAV1	NAV1	0.23744513	
WNT2	WNT2	0.23681091	
PLEKHA4	PLEKHA4	0.23637663	
RAB9B	RAB9B	0.23616876	
PCDH7	PCDH7	0.23483318	
PRSS8	PRSS8	0.23444793	
COL16A1	COL16A1	0.2342425	
PTPRF	PTPRF	0.23366766	
GSTM5	GSTM5	0.23358026	
RASL11B	RASL11B	0.23335803	
GUCA2A	GUCA2A	0.23173596	
DAW1	DAW1	0.23002987	
CXCL12	CXCL12	0.22943501	
ENAH	ENAH	0.22925727	
RGS5	RGS5	0.2284136	
CCDC136	CCDC136	0.22814898	
WARS2	WARS2	0.22807051	
WASF3	WASF3	0.2274798	
KIF3C	KIF3C	0.2267464	
AIF1L	AIF1L	0.22673643	
TCEA3	TCEA3	0.2259974	
XAGE2	XAGE2	0.22579251	
PBX4	PBX4	0.22538246	
TTLL7	TTLL7	0.22531064	
CC2D2A	CC2D2A	0.22524218	
LMO3	LMO3	0.22482692	
NIM1K	NIM1K	0.2244298	
GALNT12	GALNT12	0.2243417	
HMGB3	HMGB3	0.22295587	
SETBP1	SETBP1	0.2221755	
TMEM119	TMEM119	0.22211906	
CCDC81	CCDC81	0.22183543	
SCARA3	SCARA3	0.22165325	
SLIT2	SLIT2	0.22127673	
SLC15A1	SLC15A1	0.22094521	
ITGB1BP2	ITGB1BP2	0.21991976	
CPE	CPE	0.21863781	
HACD1	HACD1	0.21753721	
HSPB7	HSPB7	0.21726672	
LEFTY1	LEFTY1	0.21718842	
BAIAP2L1	BAIAP2L1	0.21713914	
NLRP2	NLRP2	0.21686907	
LIN28B	LIN28B	0.21686555	
SPOCD1	SPOCD1	0.21636853	
CXCR6	CXCR6	0.21621168	
MOXD1	MOXD1	0.21617869	
