NAME	TITLE	SCORE	
TLR1	TLR1	0.14412662	
IGF2BP2	IGF2BP2	0.14378378	
SAMD14	SAMD14	0.14370452	
NLRC4	NLRC4	0.1436843	
EVI2B	EVI2B	0.14358166	
SOSTDC1	SOSTDC1	0.1434991	
FANCE	FANCE	0.14345463	
YPEL4	YPEL4	0.14325386	
HK3	HK3	0.14323	
GPR65	GPR65	0.14319913	
KLHL6	KLHL6	0.1428662	
GCA	GCA	0.14271076	
CA9	CA9	0.14265737	
MYBPC3	MYBPC3	0.14259498	
SETBP1	SETBP1	0.14241539	
ADGRE1	ADGRE1	0.14239238	
GJB2	GJB2	0.14233653	
HEXB	HEXB	0.14228855	
FCHO1	FCHO1	0.14218222	
AK4	AK4	0.14212392	
VMO1	VMO1	0.1421061	
PRR14L	PRR14L	0.14207022	
SLC4A1	SLC4A1	0.14205195	
CD1D	CD1D	0.14194582	
PTCHD1	PTCHD1	0.14179349	
ALPPL2	ALPPL2	0.1417566	
ITGA4	ITGA4	0.14161636	
TP53I11	TP53I11	0.14143282	
RASD2	RASD2	0.14132588	
CEMIP	CEMIP	0.14121969	
ELANE	ELANE	0.1412187	
USP32	USP32	0.14121033	
CD160	CD160	0.14106251	
CD2	CD2	0.14082332	
IL18RAP	IL18RAP	0.14077696	
F13A1	F13A1	0.14071922	
CD53	CD53	0.1404781	
RGPD2	RGPD2	0.14041035	
C19orf38	C19orf38	0.14023641	
SCD	SCD	0.14011525	
ZNF467	ZNF467	0.14005685	
DLL1	DLL1	0.1399438	
CNN2	CNN2	0.13976537	
ALOX12	ALOX12	0.13970394	
EGR2	EGR2	0.13966122	
FLNB	FLNB	0.13961045	
SGPP1	SGPP1	0.13957797	
SPI1	SPI1	0.13949247	
RIMKLA	RIMKLA	0.13913779	
GYS1	GYS1	0.13902465	
ITGAM	ITGAM	0.13864683	
VEGFC	VEGFC	0.13862583	
BBOF1	BBOF1	0.13838957	
TCN1	TCN1	0.13831332	
TGFBI	TGFBI	0.1382486	
IPCEF1	IPCEF1	0.13813026	
P2RY12	P2RY12	0.13812079	
SPATC1L	SPATC1L	0.13810572	
GZMA	GZMA	0.13788812	
CCR1	CCR1	0.13755131	
MPZL2	MPZL2	0.1373395	
GNA15	GNA15	0.13731337	
ARHGAP9	ARHGAP9	0.13725297	
MXI1	MXI1	0.1372023	
KCNF1	KCNF1	0.13716926	
DPYSL5	DPYSL5	0.13708195	
HCG27	HCG27	0.13663273	
FGL2	FGL2	0.13659	
GPSM3	GPSM3	0.13650912	
LRRC25	LRRC25	0.13635166	
GBP5	GBP5	0.13632998	
LOC102724323	LOC102724323	0.13615197	
SYK	SYK	0.13599043	
ECM2	ECM2	0.13592498	
CATSPER1	CATSPER1	0.13561964	
PLEK	PLEK	0.13555881	
P2RX7	P2RX7	0.13518733	
EVI2A	EVI2A	0.13518246	
CDH1	CDH1	0.13501324	
PITPNC1	PITPNC1	0.13494658	
CYR61	CYR61	0.13490492	
LINC00997	LINC00997	0.13489588	
ATG16L2	ATG16L2	0.13486047	
FYB	FYB	0.1348436	
KLF12	KLF12	0.13467889	
CCL14	CCL14	0.13450828	
FOXO3B	FOXO3B	0.13427746	
CD209	CD209	0.13414721	
FRMD4A	FRMD4A	0.13398612	
PKP2	PKP2	0.13398165	
SMC6	SMC6	0.13381241	
CCL5	CCL5	0.1337711	
CTSG	CTSG	0.133695	
WASF3	WASF3	0.13361646	
CMTM5	CMTM5	0.13358195	
ELMO3	ELMO3	0.1334832	
POMC	POMC	0.13309701	
CDC42EP5	CDC42EP5	0.13302085	
LOC284379	LOC284379	0.13288538	
NRIP1	NRIP1	0.13285635	
NCF4	NCF4	0.13283218	
ST6GALNAC5	ST6GALNAC5	0.1325632	
SESN3	SESN3	0.13247247	
ASGR2	ASGR2	0.13235451	
RETN	RETN	0.13230824	
PLEKHA4	PLEKHA4	0.13224107	
HCLS1	HCLS1	0.13220064	
VAV1	VAV1	0.13210347	
ANXA8	ANXA8	0.13208336	
LTF	LTF	0.13200514	
MPL	MPL	0.13167477	
CDKL1	CDKL1	0.13160983	
FRAT2	FRAT2	0.13160168	
IL1RN	IL1RN	0.13147824	
MYLK	MYLK	0.1312877	
ADAP1	ADAP1	0.1312193	
TLR6	TLR6	0.13119578	
SBSN	SBSN	0.13104224	
SPOCD1	SPOCD1	0.13101785	
HAPLN3	HAPLN3	0.13094467	
PNMA3	PNMA3	0.13093558	
CDH3	CDH3	0.13060379	
TMEM179	TMEM179	0.13042167	
PALLD	PALLD	0.13040793	
